"CD_SETOR";"AREA_KM2";"POPULACAO";"POPULACAO_INFANTIL";"POPULACAO_IDOSA";"POPULACAO_ADULTA";"POPULACAO_EQUIVALENTE";"CNES";"NOME FANTASIA";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"INDICE_SOBRECARGA";"CLASSIFICACAO"
"211130005000016";"0.0854388";"416";"23";"62.0";"331";"477.1";"929417";"CLINICA DA FAMILIA DO CENTRO";"II";"1.0";"6000";"0.8770";"Adequado"
"211130005000017";"0.1358113";"874";"34";"164.0";"676";"1022.2";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000018";"0.0605283";"809";"40";"145.0";"624";"945";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000019";"0.0569977";"545";"12";"155.0";"378";"675";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000020";"0.038659";"557";"18";"135.0";"404";"674";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000021";"0.0435795";"853";"50";"165.0";"638";"1010";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000022";"0.1138939";"551";"21";"149.0";"381";"680.7";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000023";"0.0570098";"826";"36";"197.0";"593";"1001.6";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000024";"0.2681255";"727";"28";"171.0";"528";"877.8";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000025";"0.0496682";"787";"37";"128.0";"622";"907.9";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000026";"0.0174402";"451";"21";"78.0";"352";"523.9";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000027";"0.1014868";"1026";"48";"199.0";"779";"1209.2";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000028";"0.0310249";"878";"40";"170.0";"668";"1034";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000029";"0.0352484";"772";"43";"161.0";"568";"922.3";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000030";"0.0250014";"651";"39";"127.0";"485";"772.1";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000031";"0.0494443";"851";"49";"180.0";"622";"1019.5";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000032";"0.0549222";"831";"43";"141.0";"647";"965.3";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000033";"0.0346154";"593";"29";"132.0";"432";"713.1";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000036";"0.0320527";"690";"32";"153.0";"505";"828.4";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000037";"0.0377285";"575";"19";"141.0";"415";"697.3";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000038";"0.094866";"794";"41";"165.0";"588";"946.5";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000039";"0.0880768";"496";"10";"116.0";"370";"593.8";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000040";"0.0688576";"727";"34";"169.0";"524";"879.2";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000041";"0.0812494";"727";"29";"112.0";"586";"831.1";"929417";"CLINICA DA FAMILIA DO CENTRO";"II";"1.0";"6000";"0.8770";"Adequado"
"211130005000042";"0.0445458";"1044";"64";"153.0";"827";"1198.4";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000043";"0.0328303";"740";"31";"116.0";"593";"848.3";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000044";"0.0320263";"895";"58";"128.0";"709";"1026.4";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000045";"0.0168528";"409";"26";"54.0";"329";"465.2";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000046";"0.0357878";"500";"20";"114.0";"366";"601.2";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000047";"0.1076515";"152";"9";"21.0";"122";"173.3";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000048";"0.0368036";"915";"37";"154.0";"724";"1056.7";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000049";"0.0329752";"871";"44";"119.0";"708";"988.2";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000050";"0.0367841";"986";"71";"167.0";"748";"1155.1";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000051";"0.0259893";"714";"41";"120.0";"553";"830.5";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000052";"0.0287854";"851";"41";"145.0";"665";"987.5";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000053";"0.0168843";"545";"36";"90.0";"419";"635";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000054";"0.0465222";"984";"44";"162.0";"778";"1135.6";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000055";"0.0493335";"923";"38";"164.0";"721";"1073.2";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000056";"0.0825245";"826";"38";"144.0";"644";"960.2";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000057";"0.0254577";"691";"29";"111.0";"551";"794.3";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000058";"0.0869188";"824";"52";"115.0";"657";"942";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000059";"0.0473833";"810";"48";"133.0";"629";"940.4";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000060";"0.0416698";"925";"53";"144.0";"728";"1066.7";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000061";"0.0397865";"753";"31";"120.0";"602";"864.5";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000062";"0.0658754";"920";"38";"165.0";"717";"1071";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000063";"0.1052482";"705";"19";"192.0";"494";"868.1";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000064";"0.0506866";"637";"33";"110.0";"494";"741.5";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000065";"0.0464651";"579";"34";"81.0";"464";"660.8";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000066";"0.0972792";"791";"32";"196.0";"563";"963.8";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000067";"0.2635587";"692";"24";"182.0";"486";"849.6";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000068";"0.0859761";"679";"24";"177.0";"478";"832.6";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000069";"0.1819192";"523";"20";"101.0";"402";"613.8";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000070";"0.0601424";"805";"43";"139.0";"623";"937.7";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000071";"0.038843";"612";"32";"95.0";"485";"704";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000072";"0.0312614";"751";"52";"121.0";"578";"873.8";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000073";"0.0317901";"729";"36";"119.0";"574";"842.2";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000075";"0.0528705";"757";"40";"141.0";"576";"889.8";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000076";"0.0430011";"662";"41";"113.0";"508";"772.9";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000077";"0.0379183";"663";"40";"117.0";"506";"776.6";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000078";"0.0472201";"738";"29";"127.0";"582";"854.1";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000079";"0.0825689";"694";"27";"166.0";"501";"840.3";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000080";"0.1445939";"761";"24";"156.0";"581";"897.8";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000081";"0.0758488";"773";"38";"162.0";"573";"921.6";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000082";"0.0835887";"1061";"40";"195.0";"826";"1237";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000084";"0.0468485";"604";"29";"113.0";"462";"708.9";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000085";"0.0442202";"779";"39";"112.0";"628";"888.1";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000086";"0.153074";"653";"28";"77.0";"548";"728.6";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000087";"0.1772335";"903";"49";"82.0";"772";"993.1";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000090";"0.1234899";"711";"46";"100.0";"565";"814";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000091";"0.0619313";"674";"32";"107.0";"535";"775.6";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000093";"0.1902627";"844";"26";"212.0";"606";"1026.6";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000094";"0.0913488";"742";"37";"138.0";"567";"870.9";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000095";"0.04289";"450";"17";"66.0";"367";"511.3";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000096";"0.0486559";"876";"47";"156.0";"673";"1024.3";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000097";"0.021125";"467";"14";"90.0";"363";"546";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000098";"0.0660096";"929";"58";"150.0";"721";"1078";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000099";"0.0407848";"489";"30";"92.0";"367";"577.6";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000100";"0.0397547";"773";"42";"123.0";"608";"892.4";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000101";"0.0628237";"980";"51";"153.0";"776";"1127.9";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000102";"0.8346471";"859";"50";"143.0";"666";"998.4";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000103";"0.0295795";"428";"19";"85.0";"324";"505.5";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000104";"0.1186217";"833";"33";"172.0";"628";"987.1";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000105";"0.0673716";"381";"24";"73.0";"284";"451.4";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000106";"0.0229255";"455";"25";"77.0";"353";"529.1";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000107";"0.0404247";"505";"20";"106.0";"379";"599.8";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000108";"0.0936217";"1117";"62";"187.0";"868";"1297.6";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000109";"0.3246529";"810";"41";"126.0";"643";"931.3";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000110";"0.0550478";"881";"41";"170.0";"670";"1037.5";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000113";"0.0683907";"820";"56";"117.0";"647";"941.6";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000114";"0.0920387";"685";"22";"148.0";"515";"814.4";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000116";"0.049636";"818";"37";"154.0";"627";"959.7";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000118";"0.0680599";"641";"32";"95.0";"514";"733";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000119";"0.0477093";"860";"54";"103.0";"703";"969.4";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000120";"0.0923552";"766";"30";"124.0";"612";"880.2";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000121";"0.0822474";"584";"16";"126.0";"442";"692.8";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000122";"0.0468134";"535";"19";"112.0";"404";"634.1";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000123";"0.0394643";"658";"28";"118.0";"512";"766.4";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000124";"0.0834084";"980";"62";"128.0";"790";"1113.4";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000125";"0.1740127";"721";"33";"118.0";"570";"831.9";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000126";"0.0673532";"943";"35";"146.0";"762";"1077.3";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000127";"0.0484596";"1006";"52";"174.0";"780";"1171.2";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000128";"0.086693";"692";"28";"153.0";"511";"828.4";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000129";"0.0824834";"798";"36";"149.0";"613";"935.2";"666394";"CENTRO DE SAUDE BARRETO";"I";"0.8";"3000";"6.4971";"Sobrecarregado"
"211130005000130";"0.0545208";"87";"7";"";"";"";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000132";"0.0559027";"644";"50";"84.0";"510";"736.2";"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"II";"1.0";"6000";"1.7535";"Sobrecarregado"
"211130005000133";"0.0521957";"1035";"60";"146.0";"829";"1181.8";"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"II";"1.0";"6000";"1.7535";"Sobrecarregado"
"211130005000134";"0.062057";"268";"11";"61.0";"196";"322.3";"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"II";"1.0";"6000";"1.7535";"Sobrecarregado"
"211130005000135";"0.119675";"508";"23";"135.0";"350";"627.5";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000137";"0.029326";"673";"46";"107.0";"520";"781.6";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000138";"0.0447756";"920";"57";"149.0";"714";"1067.7";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000139";"0.0360804";"907";"50";"97.0";"760";"1009.6";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000140";"0.0390386";"755";"54";"74.0";"627";"841.2";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000143";"0.0810767";"202";"13";"26.0";"163";"229.3";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000146";"0.1596068";"983";"66";"103.0";"814";"1098.4";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000147";"0.0515737";"732";"39";"112.0";"581";"841.1";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000149";"0.056021";"536";"27";"108.0";"401";"635.9";"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"II";"1.0";"6000";"1.7535";"Sobrecarregado"
"211130005000150";"0.0545581";"457";"25";"107.0";"325";"555.1";"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"II";"1.0";"6000";"1.7535";"Sobrecarregado"
"211130005000151";"0.1666951";"543";"13";"214.0";"316";"720.7";"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"II";"1.0";"6000";"1.7535";"Sobrecarregado"
"211130005000152";"0.5514162";"615";"34";"120.0";"461";"728";"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"II";"1.0";"6000";"1.7535";"Sobrecarregado"
"211130005000153";"0.143267";"553";"35";"79.0";"439";"633.7";"9784950";"PROCURADORIA GERAL DA JUSTICA UNIDADE CONSULTORIO MEDICO";"II";"1.0";"6000";"6.1492";"Sobrecarregado"
"211130005000154";"0.1092708";"322";"12";"82.0";"228";"393.6";"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"II";"1.0";"6000";"1.7535";"Sobrecarregado"
"211130005000155";"0.0711567";"445";"12";"122.0";"311";"548.6";"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"II";"1.0";"6000";"1.7535";"Sobrecarregado"
"211130005000156";"0.1302931";"465";"10";"129.0";"326";"573.2";"9784950";"PROCURADORIA GERAL DA JUSTICA UNIDADE CONSULTORIO MEDICO";"II";"1.0";"6000";"6.1492";"Sobrecarregado"
"211130005000157";"0.0981217";"548";"19";"143.0";"386";"671.9";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000158";"0.9182095";"470";"18";"111.0";"341";"567.8";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000160";"0.1653797";"508";"22";"124.0";"362";"618.2";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000161";"0.2320612";"88";"8";"18.0";"62";"106.4";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000162";"0.0956219";"511";"22";"128.0";"361";"624.4";"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"II";"1.0";"6000";"5.3875";"Sobrecarregado"
"211130005000163";"0.0337766";"782";"39";"189.0";"554";"952.7";"9784950";"PROCURADORIA GERAL DA JUSTICA UNIDADE CONSULTORIO MEDICO";"II";"1.0";"6000";"6.1492";"Sobrecarregado"
"211130005000164";"0.069062";"794";"33";"148.0";"613";"928.9";"9784950";"PROCURADORIA GERAL DA JUSTICA UNIDADE CONSULTORIO MEDICO";"II";"1.0";"6000";"6.1492";"Sobrecarregado"
