"CNES";"NOME FANTASIA";"NÍVEL DE ATENÇÃO";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"CAPACIDADE_PONDERADA";"SETORES_COBERTOS";"SETORES_COM_PEQ";"SETORES_SEM_PEQ";"POPULACAO_EQUIVALENTE";"INDICE_SOBRECARGA";"latitude";"longitude";"CLASSIFICACAO"
"3173828";"CENTRO DE SAUDE FABICIANA DE MORAES";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"18";"18";"0";"15025.2";"2.5042";"-2.58706592960698";"-44.2066535175227";"Sobrecarregado"
"2645769";"UNIDADE DE SAUDE DA FAMILIA VILA SARNEY";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"23";"23";"0";"14776.4";"2.4627";"-2.63367257776153";"-44.2706714456456";"Sobrecarregado"
"2645866";"CENTRO DE SAUDE COQUEIRO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"9";"8";"1";"5491.9";"2.2883";"-2.72767448595251";"-44.3595220112584";"Sobrecarregado"
"2309289";"CENTRO DE SAUDE COHAB ANIL";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"20";"20";"0";"13689.2";"2.2815";"-2.53497385377563";"-44.2170617490848";"Sobrecarregado"
"2645785";"CENTRO DE SAUDE MARIA AYRECILA CIDADE OLIMPICA II";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"19";"19";"0";"13478.4";"2.2464";"-2.59400946830655";"-44.1799389916673";"Sobrecarregado"
"2645815";"UNIDADE DE SAUDE DA FAMILIA PIRAPORA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"24";"21";"3";"13239.3";"2.2066";"-2.55919465972143";"-44.2385072904295";"Sobrecarregado"
"2881314";"CLINICA DA FAMILIA MORADA DO SOL";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"22";"21";"1";"12737.9";"2.1230";"-2.64642244993202";"-44.2993503878531";"Sobrecarregado"
"2645777";"UNIDADE DE SAUDE DA FAMILIA SANTA CLARA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"15";"15";"0";"12507.4";"2.0846";"-2.59612195081641";"-44.1986014700842";"Sobrecarregado"
"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"15";"15";"0";"12507.4";"2.0846";"-2.53599";"-44.2972982";"Sobrecarregado"
"2698005";"CENTRO DE SAUDE DR JOSE RIBAMAR FRAZAO CORREA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"19";"18";"1";"11353.4";"1.8922";"-2.64220662460148";"-44.2760524474016";"Sobrecarregado"
"7261136";"CENTRO DE SAUDE COQUILHO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"8";"8";"0";"4366";"1.8192";"-2.6666776926752";"-44.1871686070447";"Sobrecarregado"
"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"16";"16";"0";"10521.1";"1.7535";"-2.51402546943886";"-44.2991874347959";"Sobrecarregado"
"3827402";"CENTRO DE SAUDE GAPARA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"15";"13";"2";"10000.3";"1.6667";"-2.58918202338124";"-44.3033712842668";"Sobrecarregado"
"2645793";"U S F ANTONIO CARLOS SOUSA REIS OLIMPICA I";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"10";"10";"0";"8684.3";"1.4474";"-2.59746477997791";"-44.1872823531554";"Sobrecarregado"
"2309319";"CENTRO DE SAUDE VILA NOVA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"9";"9";"0";"8683.8";"1.4473";"-2.53817903979596";"-44.3278111463714";"Sobrecarregado"
"2458179";"CENTRO DE SAUDE VILA ITAMAR";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"10";"9";"1";"8043.5";"1.3406";"-2.59458988027233";"-44.2469786789376";"Sobrecarregado"
"2310007";"CENTRO DE SAUDE SAO CRISTOVAO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"14";"14";"0";"8015.8";"1.3360";"-2.57502201852176";"-44.2396897220463";"Sobrecarregado"
"2645750";"CENTRO DE SAUDE JAILSON ALVES VIANA OLIMPICA III";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"14";"10";"4";"7945.6";"1.3243";"-2.60679727846113";"-44.1856210871616";"Sobrecarregado"
"2458780";"CENTRO DE SAUDE DO TIBIRI";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"18";"14";"4";"7769.5";"1.2949";"-2.61206110098613";"-44.2470294728033";"Sobrecarregado"
"2456818";"CENTRO DE SAUDE YVES PARGA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"19";"14";"5";"7571.4";"1.2619";"-2.62497403262436";"-44.3161231424204";"Sobrecarregado"
