"CD_SETOR";"AREA_KM2";"POPULACAO";"POPULACAO_INFANTIL";"POPULACAO_IDOSA";"POPULACAO_ADULTA";"POPULACAO_EQUIVALENTE";"DENSIDADE_HAB_KM2";"RENDA_MEDIA";"SITUACAO_COBERTURA";"DISTANCIA_UBS_M";"CNES";"NOME FANTASIA";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"INDICE_SOBRECARGA";"CLASSIFICACAO"
"211130005000063";"0.1052482";"705";"19";"192.0";"494";"868.1";"6698.451850007886";"2579.35";"Coberto";"198.97";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000064";"0.0506866";"637";"33";"110.0";"494";"741.5";"12567.424131821823";"2111.66";"Coberto";"574.91";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000065";"0.0464651";"579";"34";"81.0";"464";"660.8";"12460.96532666453";"1406.51";"Coberto";"821.02";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000066";"0.0972792";"791";"32";"196.0";"563";"963.8";"8131.234631863749";"2922.19";"Coberto";"463.78";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000067";"0.2635587";"692";"24";"182.0";"486";"849.6";"2625.6010520616474";"2382.78";"Coberto";"831.47";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000068";"0.0859761";"679";"24";"177.0";"478";"832.6";"7897.543619680353";"3084.02";"Coberto";"788.01";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000069";"0.1819192";"523";"20";"101.0";"402";"613.8";"2874.9027040576257";"2415.6";"Coberto";"750.57";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000070";"0.0601424";"805";"43";"139.0";"623";"937.7";"13384.899837718482";"2330";"Coberto";"711.77";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000071";"0.038843";"612";"32";"95.0";"485";"704";"15755.734623999175";"1621.5";"Coberto";"557.63";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000072";"0.0312614";"751";"52";"121.0";"578";"873.8";"24023.236323389225";"1677.66";"Coberto";"712.79";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000073";"0.0317901";"729";"36";"119.0";"574";"842.2";"22931.667405890512";"1498.06";"Coberto";"775.67";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000075";"0.0528705";"757";"40";"141.0";"576";"889.8";"14318.003423459206";"1571.97";"Coberto";"782.2";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000076";"0.0430011";"662";"41";"113.0";"508";"772.9";"15394.955012778742";"1744.2";"Coberto";"842.2";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000077";"0.0379183";"663";"40";"117.0";"506";"776.6";"17484.96108739052";"1421.72";"Coberto";"1019.83";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000078";"0.0472201";"738";"29";"127.0";"582";"854.1";"15628.937676963835";"1812.3";"Coberto";"1004.56";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000079";"0.0825689";"694";"27";"166.0";"501";"840.3";"8405.101678719227";"2645.9";"Coberto";"927.61";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000080";"0.1445939";"761";"24";"156.0";"581";"897.8";"5263.015936356928";"3659.12";"Coberto";"826.09";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000081";"0.0758488";"773";"38";"162.0";"573";"921.6";"10191.328010462921";"2520";"Coberto";"691.75";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000082";"0.0835887";"1061";"40";"195.0";"826";"1237";"12693.103254387255";"1963.38";"Coberto";"794.22";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000084";"0.0468485";"604";"29";"113.0";"462";"708.9";"12892.621962282677";"1304.11";"Coberto";"1270.31";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000085";"0.0442202";"779";"39";"112.0";"628";"888.1";"17616.38346276136";"1286.67";"Coberto";"1176.36";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000086";"0.153074";"653";"28";"77.0";"548";"728.6";"4265.910605328142";"2260.15";"Coberto";"1059.75";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000087";"0.1772335";"903";"49";"82.0";"772";"993.1";"5094.973580051176";"2367.71";"Coberto";"1082.54";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
