CD_SETOR;AREA_KM2;populacao;densidade_hab_km2
211130005000059;0.0473833;810;17094.63038665521
211130005000060;0.0416698;925;22198.330685532448
211130005000061;0.0397865;753;18926.017619041635
211130005000062;0.0658754;920;13965.759600700716
211130005000063;0.1052482;705;6698.451850007886
211130005000064;0.0506866;637;12567.424131821823
211130005000065;0.0464651;579;12460.96532666453
211130005000066;0.0972792;791;8131.234631863749
211130005000067;0.2635587;692;2625.6010520616474
211130005000068;0.0859761;679;7897.543619680353
211130005000069;0.1819192;523;2874.9027040576257
211130005000070;0.0601424;805;13384.899837718482
211130005000071;0.038843;612;15755.734623999175
211130005000072;0.0312614;751;24023.236323389225
211130005000073;0.0317901;729;22931.667405890512
211130005000075;0.0528705;757;14318.003423459206
211130005000076;0.0430011;662;15394.955012778742
211130005000077;0.0379183;663;17484.96108739052
211130005000078;0.0472201;738;15628.937676963835
211130005000079;0.0825689;694;8405.101678719227
211130005000080;0.1445939;761;5263.015936356928
211130005000081;0.0758488;773;10191.328010462921
211130005000082;0.0835887;1061;12693.103254387255
211130005000084;0.0468485;604;12892.621962282677
211130005000085;0.0442202;779;17616.38346276136
211130005000086;0.153074;653;4265.910605328142
211130005000087;0.1772335;903;5094.973580051176
211130005000090;0.1234899;711;5757.555881088251
211130005000091;0.0619313;674;10883.026837802532
211130005000093;0.1902627;844;4435.971948258907
211130005000094;0.0913488;742;8122.712066277828
211130005000095;0.04289;450;10491.95616693868
211130005000096;0.0486559;876;18003.983072967512
211130005000097;0.021125;467;22106.508875739644
211130005000098;0.0660096;929;14073.710490595307
211130005000099;0.0407848;489;11989.76089131245
211130005000100;0.0397547;773;19444.24181291772
211130005000101;0.0628237;980;15599.208578928017
211130005000102;0.8346471;859;1029.1774811174687
211130005000103;0.0295795;428;14469.480552409606
211130005000104;0.1186217;833;7022.323908694615
211130005000105;0.0673716;381;5655.201895160571
211130005000106;0.0229255;455;19846.895378508645
211130005000107;0.0404247;505;12492.362342825054
211130005000108;0.0936217;1117;11930.994630518351
211130005000109;0.3246529;810;2494.9723227483873
211130005000110;0.0550478;881;16004.272650314817
211130005000113;0.0683907;820;11989.934303933138
211130005000114;0.0920387;685;7442.521461081045
211130005000116;0.049636;818;16479.97421226529
211130005000118;0.0680599;641;9418.174284710967
211130005000119;0.0477093;860;18025.835633723404
211130005000120;0.0923552;766;8294.064654724369
211130005000121;0.0822474;584;7100.528405761155
211130005000122;0.0468134;535;11428.351711262161
211130005000123;0.0394643;658;16673.297131838142
211130005000124;0.0834084;980;11749.416125953741
211130005000125;0.1740127;721;4143.375742115374
211130005000126;0.0673532;943;14000.819560169375
211130005000127;0.0484596;1006;20759.560541151805
211130005000128;0.086693;692;7982.190026876448
211130005000129;0.0824834;798;9674.673934391647
211130005000130;0.0545208;87;1595.7212660122375
211130005000132;0.0559027;644;11520.016027848387
211130005000133;0.0521957;1035;19829.21964836184
211130005000134;0.062057;268;4318.610309876404
211130005000135;0.119675;508;4244.829747232086
211130005000137;0.029326;673;22948.919047943804
211130005000138;0.0447756;920;20546.905010764793
211130005000139;0.0360804;907;25138.302236117117
211130005000140;0.0390386;755;19339.83288335135
211130005000143;0.0810767;202;2491.4679556518704
211130005000146;0.1596068;983;6158.885461020458
211130005000147;0.0515737;732;14193.280683759358
211130005000149;0.056021;536;9567.840631191873
211130005000150;0.0545581;457;8376.391406592238
211130005000151;0.1666951;543;3257.444280005831
211130005000152;0.5514162;615;1115.3099963330783
211130005000153;0.143267;553;3859.925872671306
211130005000154;0.1092708;322;2946.8073812949115
211130005000155;0.0711567;445;6253.803225838185
211130005000156;0.1302931;465;3568.8766327610597
211130005000157;0.0981217;548;5584.9011992250435
211130005000158;0.9182095;470;511.86575612646135
211130005000160;0.1653797;508;3071.719201328821
211130005000161;0.2320612;88;379.2103117625868
211130005000162;0.0956219;511;5343.9640919078165
211130005000163;0.0337766;782;23152.123067449065
211130005000164;0.069062;794;11496.91581477513
211130005000165;0.945661;353;373.2838723390306
211130005000167;0.1638827;484;2953.3318648033014
211130005000169;0.0578355;965;16685.25386656984
211130005000170;0.4217607;397;941.2920644336943
211130005000171;1.7376575;235;135.23953943743228
211130005000172;0.0300011;651;21699.20436250671
211130005000173;0.0496582;450;9061.947472924914
211130005000174;0.1176778;397;3373.6184734928765
211130005000175;1.1780959;989;839.4902316526185
211130005000176;0.1286031;727;5653.051909324115
211130005000177;0.2244444;505;2250.000445544643
211130005000178;0.0826642;604;7306.669634497159
211130005000179;0.1349817;717;5311.831159334932
211130005000180;0.0610602;580;9498.822473558881
211130005000181;0.2441289;743;3043.474164672843
211130005000183;0.5853918;872;1489.6006401182933
211130005000184;0.080583;663;8227.541789211124
211130005000187;0.2394305;919;3838.274572370688
211130005000188;0.2228641;687;3082.596075366109
211130005000189;0.0727837;402;5523.214675813403
211130005000190;0.0928455;617;6645.448621634867
211130005000191;0.1523322;488;3203.524927756574
211130005000193;0.1062118;650;6119.847323931993
211130005000195;0.1363904;577;4230.503026605978
211130005000196;0.1760736;791;4492.439525289425
211130005000197;0.1573129;923;5867.287425252474
211130005000198;0.0830924;671;8075.347444531631
211130005000199;0.0552179;479;8674.723232864704
211130005000200;0.1134705;963;8486.78731476463
211130005000201;0.0837504;897;10710.39660706098
211130005000202;0.0304493;405;13300.798376317354
211130005000203;0.065393;658;10062.23907757711
211130005000204;0.0331196;465;14040.02463797872
211130005000205;0.0371202;700;18857.657016934176
211130005000206;0.0315614;676;21418.56825109152
211130005000207;0.1295017;772;5961.311704788432
211130005000208;0.0648523;612;9436.827992222326
211130005000209;0.0570728;598;10477.845838998612
211130005000210;0.0443582;804;18125.171896064312
211130005000211;0.1855486;1005;5416.370697488421
211130005000212;0.0506702;604;11920.221352984594
211130005000213;0.2187656;680;3108.3497588286273
211130005000215;0.0411016;530;12894.875138680733
211130005000216;0.0381434;672;17617.726788907123
211130005000217;0.0956879;939;9813.152969184192
211130005000218;0.0896373;752;8389.364695277523
211130005000219;0.0265861;588;22116.820443765726
211130005000220;0.4766346;678;1422.4733160370647
211130005000221;0.0468384;899;19193.653070984492
211130005000222;0.0836225;688;8227.450745911687
211130005000223;0.1538367;828;5382.330744224233
211130005000224;0.0457389;888;19414.546480129604
211130005000225;0.0492474;985;20001.055893306046
211130005000226;0.0672092;774;11516.280509216002
211130005000227;0.0792149;794;10023.366816091417
211130005000228;0.0412075;883;21428.13808165989
211130005000229;0.0323698;717;22150.275874426163
211130005000230;0.0410141;817;19919.97873901902
211130005000231;0.1708363;781;4571.627926851612
211130005000232;0.0988389;781;7901.74718658342
211130005000234;0.0608866;981;16111.919535661378
211130005000235;0.0938718;852;9076.208190319137
211130005000236;0.0699837;661;9445.05649172593
211130005000237;0.0433743;669;15423.880039562599
211130005000238;0.0204788;394;19239.40855909526
211130005000239;0.0208195;455;21854.511395566657
211130005000240;0.0262213;381;14530.172035711426
211130005000241;0.0180906;476;26312.007340828943
211130005000242;0.0259796;460;17706.200249426474
211130005000243;0.0364788;702;19244.05408072634
211130005000244;0.2214485;743;3355.1819045963284
211130005000245;0.219198;711;3243.6427339665506
211130005000246;0.0239103;544;22751.70114971372
211130005000247;0.0783815;639;8152.4339289245545
211130005000248;0.1419776;904;6367.201586729174
211130005000249;0.1719605;1034;6013.008801439866
211130005000250;0.0665372;1084;16291.638361698417
211130005000251;0.0988906;826;8352.664459513848
211130005000252;0.225033;854;3794.9989557087183
211130005000253;0.1652331;1056;6390.971300544504
211130005000254;0.0309141;780;25231.205178219647
211130005000255;0.1181782;633;5356.317831884392
211130005000256;0.0286811;414;14434.592815477788
211130005000258;0.1159989;786;6775.926323439274
211130005000259;0.9106268;667;732.4625192230232
211130005000260;0.0184749;342;18511.602227887568
211130005000261;0.0238446;701;29398.689850112813
211130005000263;0.0692252;529;7641.725845501349
211130005000264;0.130067;748;5750.882237615999
211130005000266;0.1176902;552;4690.280074296756
211130005000267;0.1500001;725;4833.33011111326
211130005000268;0.1836007;957;5212.39842767484
211130005000269;0.2035482;908;4460.859884784046
211130005000270;0.0564274;452;8010.292871902657
211130005000271;0.1709739;581;3398.1794882142826
211130005000272;0.1156677;538;4651.255276970148
211130005000273;0.1597375;831;5202.284998826199
211130005000274;0.1707654;717;4198.742836663633
211130005000275;0.28432;826;2905.177265053461
211130005000276;0.0294643;306;10385.449510085087
211130005000279;0.1239143;754;6084.850578181856
211130005000280;0.0635271;512;8059.552537421037
211130005000281;0.1210183;640;5288.4563739533605
211130005000282;0.01116;319;28584.229390681005
211130005000283;0.1018532;670;6578.094748127697
211130005000284;0.1387694;1012;7292.674033324351
211130005000285;0.1059727;685;6463.928917541971
211130005000286;0.0959372;797;8307.517834583457
211130005000287;0.0891582;831;9320.511181248612
211130005000288;0.1471646;1026;6971.785334244784
211130005000289;0.0632762;648;10240.81724250192
211130005000290;0.1690156;678;4011.464030539193
211130005000293;0.109414;732;6690.185899427861
211130005000295;0.0833696;656;7868.575595900664
211130005000296;0.0687159;813;11831.32288160382
211130005000297;0.0585837;776;13246.005288160359
211130005000298;0.0344582;622;18050.855819514658
211130005000299;0.088517;543;6134.414858162839
211130005000300;0.036516;645;17663.489976996385
211130005000301;0.1135212;990;8720.83804610945
211130005000302;0.0900552;1058;11748.349900949639
211130005000303;0.0532502;745;13990.557781942603
211130005000304;0.0308987;613;19839.022353691256
211130005000306;0.038122;709;18598.184775195423
211130005000307;0.3896374;697;1788.8426521684005
211130005000308;0.5774984;894;1548.0562370389252
211130005000310;0.0877045;616;7023.584878769048
211130005000311;0.0555137;699;12591.486425873252
211130005000312;0.025479;642;25197.221241022016
211130005000313;0.1033904;291;2814.5746607035085
211130005000314;0.0229512;455;19824.671476872667
211130005000315;0.3098511;846;2730.343703798373
211130005000316;0.125492;647;5155.70713670991
211130005000317;0.0386843;539;13933.301106650502
211130005000318;0.0253625;570;22474.12518482011
211130005000320;0.2016839;952;4720.2577895409595
211130005000321;0.4367785;567;1298.1408196603084
211130005000322;0.005365;0;0.0
211130005000323;0.0295603;525;17760.306898103197
211130005000324;0.0185971;375;20164.43423974706
211130005000325;0.0208048;403;19370.529877720528
211130005000326;0.1235635;720;5826.963464129779
211130005000327;0.1205933;965;8002.102936066929
211130005000329;0.0651424;719;11037.358156899347
211130005000330;0.109252;1023;9363.67297623842
211130005000331;0.0542953;611;11253.276066252512
211130005000332;0.0556236;274;4925.966676015217
211130005000334;0.0557768;542;9717.301817243011
211130005000335;0.1081402;849;7850.919454559914
211130005000336;0.0887676;681;7671.718059291904
211130005000337;0.1406415;820;5830.427007675544
211130005000340;0.0921242;845;9172.399868872673
211130005000341;0.1494095;623;4169.748242246979
211130005000342;0.0696896;1074;15411.194783726696
211130005000343;0.0601487;802;13333.621508029268
211130005000344;0.0372708;502;13468.989128218338
211130005000346;0.0754533;977;12948.406497794
211130005000347;0.0869687;829;9532.165020288909
211130005000348;0.0492615;674;13682.084386386936
211130005000349;0.0446654;710;15895.973169388386
211130005000350;0.0528881;644;12176.65221477043
211130005000351;0.1086354;828;7621.824929995196
211130005000352;0.0682836;638;9343.385527418004
211130005000354;0.1118179;432;3863.4243712321554
211130005000355;0.0467891;486;10387.034587115375
211130005000356;0.1798805;878;4881.018231548167
211130005000357;0.0434637;609;14011.69251582355
211130005000358;0.059748;649;10862.28827743188
211130005000359;0.1744595;920;5273.430223060367
211130005000360;0.0611515;391;6393.955994538155
211130005000362;0.05676;373;6571.5292459478505
211130005000364;0.064553;793;12284.479420011463
211130005000365;0.0729656;591;8099.707259311236
211130005000366;0.127683;897;7025.210873804657
211130005000373;0.1789567;733;4095.9628781710885
211130005000374;0.312543;590;1887.7402469420206
211130005000376;0.056886;744;13078.789157261892
211130005000378;0.03828;680;17763.845350052245
211130005000380;0.0450788;851;18878.05354179792
211130005000381;0.0406705;538;13228.261270454015
211130005000382;0.0486511;657;13504.319532343565
211130005000383;0.0399162;864;21645.347001969127
211130005000384;0.0538734;827;15350.803921787005
211130005000385;0.0431126;783;18161.743898535464
211130005000386;0.0862387;1092;12662.528539971034
211130005000387;0.031833;555;17434.737536518707
211130005000388;0.0647316;956;14768.67557730691
211130005000390;0.0513028;696;13566.510989653585
211130005000391;0.0543191;975;17949.487381050127
211130005000393;0.0719513;919;12772.528084968584
211130005000394;0.0412437;780;18911.979284108846
211130005000395;0.0445925;613;13746.70628468913
211130005000396;0.0552815;715;12933.802447473387
211130005000397;0.0147248;219;14872.867543192438
211130005000398;0.0297253;534;17964.494891557024
211130005000399;0.0517422;953;18418.23501899803
211130005000401;0.032718;626;19133.198850785502
211130005000402;0.1067387;512;4796.76068754819
211130005000403;0.0706888;1094;15476.28478627449
211130005000406;0.1111977;964;8669.244058105518
211130005000407;0.0949606;910;9582.921759129575
211130005000409;0.0652555;926;14190.374757683261
211130005000410;0.0449591;916;20374.07332442153
211130005000411;0.1685992;753;4466.213362815482
211130005000412;1.3833097;646;466.99593012323993
211130005000414;0.4584697;763;1664.2321182839346
211130005000415;0.0643157;1006;15641.592954752883
211130005000417;0.0997766;1156;11585.88286231441
211130005000422;0.5887358;1044;1773.2911774687389
211130005000423;0.0989699;619;6254.426850992069
211130005000426;0.0677507;599;8841.237064709296
211130005000427;0.098108;1101;11222.326415786683
211130005000428;0.0438131;618;14105.370311619128
211130005000429;0.0524272;721;13752.403332621234
211130005000430;0.0586351;923;15741.424505117242
211130005000431;0.0590237;1085;18382.446373236515
211130005000432;0.0387491;592;15277.774193465139
211130005000433;0.0451897;735;16264.768298970783
211130005000434;0.0437985;877;20023.51678710458
211130005000436;0.0524506;747;14241.972446454378
211130005000438;0.0530507;835;15739.660362634235
211130005000439;0.0520816;720;13824.460078031398
211130005000440;0.087527;1002;11447.896077781714
211130005000443;0.051938;833;16038.353421387039
211130005000444;0.0528445;773;14627.823141481138
211130005000445;0.0576155;767;13312.389895080318
211130005000446;0.0806009;852;10570.60156896511
211130005000447;0.0969523;764;7880.163750627886
211130005000448;0.0806432;1060;13144.31966985437
211130005000450;0.0929852;825;8872.379690531396
211130005000451;0.1223362;523;4275.10418012003
211130005000456;0.0502834;918;18256.522033116296
211130005000457;0.0728615;360;4940.880986529237
211130005000458;0.0820456;1088;13260.918318593564
211130005000459;0.033006;622;18845.05847421681
211130005000462;0.0563134;924;16408.172832753837
211130005000463;0.1639261;1043;6362.623157630176
211130005000464;0.1259157;968;7687.683108619498
211130005000465;0.129502;1100;8494.077311547311
211130005000466;0.0463542;799;17236.841537552154
211130005000467;0.152615;439;2876.5193460669
211130005000468;0.3203201;915;2856.5175897485046
211130005000470;0.1033486;840;8127.831436516799
211130005000471;0.075675;905;11959.035348529897
211130005000472;0.0955594;1054;11029.78880152031
211130005000473;0.0420793;762;18108.66625633031
211130005000474;0.0284598;629;22101.349974349785
211130005000475;0.0597637;932;15594.750659681378
211130005000476;0.0887108;703;7924.626990174815
211130005000477;0.414043;1435;3465.8235980320883
211130005000478;0.0406211;677;16666.21534128815
211130005000480;0.0974506;1076;11041.491791738583
211130005000481;0.1676215;852;5082.8801794519195
211130005000482;0.5209198;1055;2025.2637738093272
211130005000484;0.6013174;710;1180.740820072727
211130005000485;0.1729412;716;4140.135491138029
211130005000486;0.1726213;1085;6285.435227286552
211130005000489;0.4124571;771;1869.2853147636445
211130005000490;0.1173112;949;8089.594173446354
211130005000491;0.8169726;838;1025.7381948917257
211130005000492;0.4828157;510;1056.3036786086284
211130005000493;0.2581734;365;1413.7784915099696
211130005000495;0.0392422;494;12588.488922639404
211130005000499;0.0550329;660;11992.826109472697
211130005000500;0.0397223;654;16464.303426538743
211130005000501;0.0369998;661;17864.961432223958
211130005000502;0.0470103;598;12720.616545735722
211130005000503;0.1045795;967;9246.55405696145
211130005000504;0.1986392;920;4631.512813180883
211130005000505;0.1167536;876;7502.980636143126
211130005000506;0.0660134;554;8392.235515819515
211130005000509;0.0383052;589;15376.50240698391
211130005000510;0.0490086;734;14976.963226862224
211130005000511;0.0620244;958;15445.5343380992
211130005000516;0.1524983;652;4275.457496903244
211130005000517;0.0827092;553;6686.076035072278
211130005000518;0.1400007;772;5514.258142994999
211130005000520;0.1251296;651;5202.605938163312
211130005000522;0.0614366;616;10026.59652389618
211130005000523;0.0193723;680;35101.665780521675
211130005000524;0.0214113;575;26854.978445960776
211130005000525;0.0110271;428;38813.46863635952
211130005000529;0.2753567;371;1347.343282367925
211130005000530;0.1806043;1150;6367.511736985221
211130005000531;0.1001894;714;7126.50240444598
211130005000533;0.1986712;626;3150.93481088351
211130005000534;0.0966694;1076;11130.719752062183
211130005000535;0.0977251;733;7500.631874513303
211130005000536;0.1397869;834;5966.224302849552
211130005000537;0.0424308;326;7683.098126832396
211130005000538;0.1007765;940;9327.571408016749
211130005000539;0.0896994;919;10245.330515031315
211130005000540;0.0679069;792;11663.026879448185
211130005000541;0.097992;1020;10409.012980651481
211130005000542;0.0955306;824;8625.50847581822
211130005000543;0.0773409;944;12205.702286888309
211130005000544;0.1108902;992;8945.78601174856
211130005000545;0.0906523;951;10490.632890726434
211130005000546;0.0599097;691;11534.025374855824
211130005000547;0.1060823;927;8738.498316872843
211130005000548;0.0911405;828;9084.874452082226
211130005000549;0.0455922;531;11646.729045757827
211130005000550;0.0928182;766;8252.691821216098
211130005000551;0.1203263;1034;8593.300051609665
211130005000552;0.0907464;960;10578.932056808864
211130005000553;0.1194761;874;7315.270585497852
211130005000554;0.0898742;924;10281.03727209811
211130005000555;0.0889221;851;9570.174343610868
211130005000556;0.1174282;949;8081.534077845015
211130005000558;0.0785846;707;8996.673648526556
211130005000559;0.0604889;450;7439.381440231183
211130005000560;0.0722276;535;7407.140760595672
211130005000561;0.0806476;414;5133.444764630318
211130005000562;0.1327067;850;6405.102379909981
211130005000563;0.0884189;637;7204.342058089391
211130005000564;0.0969456;610;6292.188608869304
211130005000565;0.1128078;635;5629.043381751971
211130005000566;0.0290379;587;20214.96044824178
211130005000567;0.018049;447;24765.915009141783
211130005000568;0.0224269;441;19663.885780023098
211130005000569;0.076061;804;10570.463180867988
211130005000570;0.1179107;464;3935.1814551181533
211130005000571;0.2555474;1032;4038.389746872792
211130005000572;0.0469003;355;7569.247957902188
211130005000573;0.12615;837;6634.958382877526
211130005000574;0.0370376;422;11393.826813832431
211130005000575;0.8434098;730;865.5341685619494
211130005000576;0.0590109;669;11336.888608714662
211130005000578;0.0974537;859;8814.442140216328
211130005000579;0.2072582;781;3768.2465639477714
211130005000581;0.1006098;504;5009.452359511698
211130005000582;0.1058344;909;8588.889812764091
211130005000583;0.0774595;855;11038.026323433536
211130005000585;0.0678731;849;12508.63744252141
211130005000586;0.035836;621;17328.942962384193
211130005000587;0.0372338;608;16329.249230537846
211130005000588;0.0539354;860;15945.000871412838
211130005000589;0.0773548;769;9941.20597558264
211130005000591;0.1408441;1004;7128.449115014402
211130005000592;0.1433384;1025;7150.910014343679
211130005000594;0.060403;825;13658.262006853965
211130005000595;0.1524534;828;5431.167819149983
211130005000596;0.1956621;474;2422.5437629464263
211130005000598;0.1487144;686;4612.868693280543
211130005000601;0.1011846;757;7481.375624353904
211130005000602;0.09974;737;7389.21195107279
211130005000604;0.0772085;659;8535.32965929917
211130005000605;0.1574583;1081;6865.309735974541
211130005000606;1.3806356;817;591.7564345001679
211130005000608;0.0815776;634;7771.7412623073
211130005000610;0.1137079;967;8504.24640680199
211130005000611;0.0799359;1043;13047.954673682287
211130005000612;0.0792546;1033;13033.943771087104
211130005000613;0.1195296;587;4910.917463122105
211130005000615;0.0459164;584;12718.767150734813
211130005000616;0.0416388;569;13665.139245127142
211130005000617;0.0691578;1006;14546.443062098562
211130005000618;0.0565599;977;17273.722195406994
211130005000619;0.060875;1054;17314.168377823407
211130005000620;0.0770579;1020;13236.79986088383
211130005000622;0.0681046;774;11364.871095344513
211130005000623;0.0629687;609;9671.471699431622
211130005000624;0.0702666;795;11314.052480125692
211130005000625;0.0639338;817;12778.843115847956
211130005000626;0.1166873;885;7584.372935186606
211130005000627;0.057122;784;13725.009628514408
211130005000628;0.0536385;669;12472.384574512711
211130005000629;0.0613766;628;10231.912487821091
211130005000630;0.0788187;691;8766.955050007167
211130005000631;0.0742932;741;9973.994928203389
211130005000632;0.0634517;1083;17068.100618265547
211130005000633;0.0634743;1056;16636.65452001834
211130005000634;0.1169698;728;6223.828714762272
211130005000635;0.0779176;1016;13039.415998439377
211130005000636;0.1055132;583;5525.3750241675925
211130005000637;0.0725169;777;10714.743735598186
211130005000638;0.0602868;811;13452.364365001957
211130005000639;0.0785199;1072;13652.589980374401
211130005000640;0.0611992;820;13398.867959058289
211130005000641;0.0992098;965;9726.86166084399
211130005000642;0.0364656;580;15905.401254881312
211130005000644;0.1147811;926;8067.530281553322
211130005000646;0.043299;494;11409.039469733712
211130005000647;0.0969147;1047;10803.314667434352
211130005000648;0.1036492;766;7390.312708636439
211130005000649;0.0544226;736;13523.793424055448
211130005000650;0.0727279;945;12993.637929872855
211130005000651;0.0866882;547;6309.9706765165265
211130005000652;0.0887015;906;10214.032457173778
211130005000653;0.1050515;1052;10014.135923808797
211130005000654;0.0602013;580;9634.34344441067
211130005000655;0.0659085;599;9088.357343893429
211130005000657;0.0646382;705;10906.863124282543
211130005000658;0.0960495;820;8537.26463958688
211130005000659;0.0277138;253;9129.025972620138
211130005000660;0.0668038;634;9490.478086575913
211130005000661;0.0759932;745;9803.508734992078
211130005000662;0.0508302;755;14853.374568661937
211130005000663;0.0764031;896;11727.272846258857
211130005000665;0.0754973;893;11828.237566111635
211130005000666;0.0731503;800;10936.387137168269
211130005000667;0.0704156;881;12511.432125835754
211130005000668;0.0757141;821;10843.422823489944
211130005000669;0.0694723;848;12206.303807416769
211130005000670;0.079164;925;11684.604112980647
211130005000671;0.1040986;1026;9856.040330993885
211130005000673;0.0733165;883;12043.673661454106
211130005000674;0.111101;968;8712.792864150637
211130005000675;0.0925294;982;10612.843053126899
211130005000677;0.0798913;512;6408.707831766413
211130005000678;0.1120084;973;8686.848486363524
211130005000679;0.0571036;641;11225.21172045195
211130005000680;0.0957663;1023;10682.254613574922
211130005000681;0.1060801;920;8672.691673556115
211130005000682;0.0653423;663;10146.566619173183
211130005000683;0.0944054;938;9935.87231238891
211130005000685;0.1080466;1060;9810.581730475553
211130005000686;0.1042911;1008;9665.254273854624
211130005000688;0.0721667;695;9630.480540193746
211130005000689;0.0486489;343;7050.519127873395
211130005000690;0.0550096;406;7380.529943864344
211130005000691;0.0613727;328;5344.395798131743
211130005000693;0.0949329;882;9290.772745802562
211130005000694;0.2123042;888;4182.6774976660845
211130005000695;0.069359;657;9472.454908519441
211130005000696;0.1139098;854;7497.160033640652
211130005000697;0.0959258;787;8204.257874315355
211130005000698;0.0722192;931;12891.308682455636
211130005000699;0.0668145;871;13036.092464958954
211130005000701;0.1365999;795;5819.916412823143
211130005000702;5.3872437;15;2.784355198187897
211130005000704;0.1489914;969;6503.7310878346
211130005000705;0.0921993;982;10650.840082299974
211130005000707;0.0848316;665;7839.059972934615
211130005000708;0.1083119;689;6361.258550537845
211130005000709;0.2236758;960;4291.926082303047
211130005000710;0.2582494;249;964.1842343099345
211130005000712;0.046637;492;10549.563651178249
211130005000713;0.0695646;728;10465.09287769929
211130005000714;0.0537716;676;12571.692120003867
211130005000715;0.0593867;542;9126.622627625376
211130005000717;0.0671627;681;10139.556628902648
211130005000718;0.0723534;862;11913.745587629608
211130005000719;0.0644143;561;8709.246238801012
211130005000720;0.0508086;277;5451.832957412721
211130005000721;0.1275661;808;6333.971172592092
211130005000724;0.0903115;930;10297.691877557121
211130005000725;0.0971401;933;9604.684368247512
211130005000726;0.0765851;974;12717.878542954177
211130005000727;0.1100591;899;8168.338647145033
211130005000728;0.0734121;942;12831.672163035795
211130005000731;0.2442722;955;3909.5730091267037
211130005000732;0.633587;210;331.44619444527746
211130005000733;2.6887538;0;0.0
211130005000735;0.0801154;944;11783.003018146323
211130005000736;0.1409042;794;5635.034299900216
211130005000737;0.0928619;1025;11037.896058555769
211130005000740;0.0687029;351;5108.954643835996
211130005000741;0.0831467;826;9934.24874348591
211130005000742;0.6020523;817;1357.0249627814726
211130005000743;0.2924365;721;2465.4925086300786
211130005000745;0.8038799;573;712.7930428413498
211130005000746;0.1671944;291;1740.4889158967048
211130005000749;0.031986;179;5596.198336772338
211130005000753;0.294431;762;2588.042699308157
211130005000755;0.04757;472;9922.219886483077
211130005000756;0.0451565;668;14792.99768582596
211130005000757;0.1117465;655;5861.481120214056
211130005000759;0.1738114;1051;6046.784042933892
211130005000760;0.1361981;160;1174.7594129433526
211130005000761;0.0714619;713;9977.34457102316
211130005000762;0.1095662;620;5658.6794102560825
211130005000763;0.0299837;527;17576.2164109166
211130005000764;0.0943901;768;8136.446512928792
211130005000766;0.029063;566;19474.933764580393
211130005000767;0.0198118;267;13476.816846525808
211130005000768;0.0223264;432;19349.290526014047
211130005000769;0.0351861;606;17222.71010427413
211130005000770;0.0620565;949;15292.51569134579
211130005000772;0.0652412;654;10024.34044744732
211130005000773;0.1489564;1098;7371.284483244762
211130005000774;0.1012731;907;8955.981400786586
211130005000778;0.0890427;732;8220.774976500039
211130005000780;0.5598637;909;1623.6094606597999
211130005000781;0.0732885;717;9783.253852923719
211130005000783;1.120367;964;860.4323404741483
211130005000784;0.1604196;992;6183.783029006431
