"CNES";"NOME FANTASIA";"NÍVEL DE ATENÇÃO";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"CAPACIDADE_PONDERADA";"SETORES_COBERTOS";"SETORES_COM_PEQ";"SETORES_SEM_PEQ";"POPULACAO_EQUIVALENTE";"INDICE_SOBRECARGA";"CLASSIFICACAO";"latitude";"longitude"
"2309319";"CENTRO DE SAUDE VILA NOVA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"9";"9";"0";"8683.8";"1.4473";"Sobrecarregado";"-2.5381790397959607";"-44.32781114637143"
"2458179";"CENTRO DE SAUDE VILA ITAMAR";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"11";"10";"1";"8043.5";"1.3406";"Sobrecarregado";"-2.5945898802723306";"-44.2469786789376"
"2310007";"CENTRO DE SAUDE SAO CRISTOVAO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"15";"15";"0";"8015.8";"1.3360";"Sobrecarregado";"-2.5750220185217603";"-44.239689722046315"
"2645750";"CENTRO DE SAUDE JAILSON ALVES VIANA OLIMPICA III";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"14";"10";"4";"7945.6";"1.3243";"Sobrecarregado";"-2.6067972784611344";"-44.18562108716156"
"2458780";"CENTRO DE SAUDE DO TIBIRI";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"18";"14";"4";"7769.5";"1.2949";"Sobrecarregado";"-2.612061100986133";"-44.2470294728033"
"2456818";"CENTRO DE SAUDE YVES PARGA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"19";"14";"5";"7571.4";"1.2619";"Sobrecarregado";"-2.6249740326243627";"-44.31612314242039"
"2308479";"CENTRO DE SAUDE THALLES RIBEIRO GONCALVES";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"12";"11";"1";"7251.4";"1.2086";"Sobrecarregado";"-2.616569659216252";"-44.25713656676083"
"2456923";"CENTRO DE SAUDE DE PEDRINHAS II";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"14";"12";"2";"6282.1";"1.0470";"Em risco";"-2.691778623685647";"-44.30434244724972"
"2309440";"CENTRO DE SAUDE ITAPERA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"13";"12";"1";"5930.4";"0.9884";"Em risco";"-2.678204820715199";"-44.27637353827428"
"2309270";"CENTRO DE SAUDE LAURA VASCONCELOS";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"11";"10";"1";"5544.6";"0.9241";"Em risco";"-2.757453331246194";"-44.35195673836537"
"929417";"CLINICA DA FAMILIA DO CENTRO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"7";"7";"0";"5261.9";"0.8770";"Adequado";"-2.530664640970709";"-44.2953850236779"
"2456834";"CENTRO DE SAUDE QUEBRA POTE";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"11";"10";"1";"4938.4";"0.8231";"Adequado";"-2.6923404";"-44.2155818"
