CD_SETOR;AREA_KM2;POPULAÇÃO;POPULAÇÃO INFANTIL;POPULAÇÃO IDOSA;DENSIDADE POPULACIONAL (hab/KM²)
211130005000187;0.2394305;919;41;211.0;3838.274572370688
211130005000188;0.2228641;687;30;188.0;3082.596075366109
211130005000189;0.0727837;402;6;134.0;5523.214675813403
211130005000190;0.0928455;617;16;205.0;6645.448621634867
211130005000191;0.1523322;488;16;73.0;3203.524927756574
211130005000193;0.1062118;650;24;161.0;6119.847323931993
211130005000195;0.1363904;577;29;110.0;4230.503026605978
211130005000196;0.1760736;791;29;218.0;4492.439525289425
211130005000197;0.1573129;923;33;275.0;5867.287425252474
211130005000198;0.0830924;671;37;110.0;8075.347444531631
211130005000199;0.0552179;479;21;87.0;8674.723232864704
211130005000200;0.1134705;963;44;141.0;8486.78731476463
211130005000201;0.0837504;897;53;168.0;10710.39660706098
211130005000202;0.0304493;405;20;83.0;13300.798376317354
211130005000203;0.065393;658;49;61.0;10062.23907757711
211130005000204;0.0331196;465;30;45.0;14040.02463797872
211130005000205;0.0371202;700;49;78.0;18857.657016934176
211130005000206;0.0315614;676;37;73.0;21418.56825109152
211130005000207;0.1295017;772;56;119.0;5961.311704788432
211130005000208;0.0648523;612;38;94.0;9436.827992222326
211130005000209;0.0570728;598;30;96.0;10477.845838998612
211130005000210;0.0443582;804;48;111.0;18125.171896064312
211130005000211;0.1855486;1005;77;134.0;5416.370697488421
211130005000212;0.0506702;604;27;122.0;11920.221352984594
211130005000213;0.2187656;680;24;155.0;3108.3497588286273
211130005000215;0.0411016;530;28;80.0;12894.875138680733
211130005000216;0.0381434;672;38;91.0;17617.726788907123
211130005000217;0.0956879;939;49;143.0;9813.152969184192
211130005000218;0.0896373;752;37;116.0;8389.364695277523
211130005000219;0.0265861;588;36;97.0;22116.820443765726
211130005000220;0.4766346;678;38;113.0;1422.4733160370647
211130005000221;0.0468384;899;55;120.0;19193.653070984492
211130005000222;0.0836225;688;41;93.0;8227.450745911687
211130005000223;0.1538367;828;47;161.0;5382.330744224233
211130005000224;0.0457389;888;41;159.0;19414.546480129604
211130005000225;0.0492474;985;48;175.0;20001.055893306046
211130005000226;0.0672092;774;39;116.0;11516.280509216002
211130005000227;0.0792149;794;29;135.0;10023.366816091417
211130005000228;0.0412075;883;44;149.0;21428.13808165989
211130005000229;0.0323698;717;40;126.0;22150.275874426163
211130005000230;0.0410141;817;49;133.0;19919.97873901902
211130005000231;0.1708363;781;40;139.0;4571.627926851612
211130005000232;0.0988389;781;39;142.0;7901.74718658342
211130005000234;0.0608866;981;48;152.0;16111.919535661378
211130005000235;0.0938718;852;39;164.0;9076.208190319137
211130005000236;0.0699837;661;19;184.0;9445.05649172593
211130005000237;0.0433743;669;26;143.0;15423.880039562599
211130005000238;0.0204788;394;9;73.0;19239.40855909526
211130005000239;0.0208195;455;24;64.0;21854.511395566657
211130005000240;0.0262213;381;18;72.0;14530.172035711426
211130005000241;0.0180906;476;22;68.0;26312.007340828943
211130005000242;0.0259796;460;14;65.0;17706.200249426474
211130005000243;0.0364788;702;33;78.0;19244.05408072634
211130005000244;0.2214485;743;27;107.0;3355.1819045963284
211130005000245;0.219198;711;34;165.0;3243.6427339665506
211130005000246;0.0239103;544;33;36.0;22751.70114971372
211130005000247;0.0783815;639;28;127.0;8152.4339289245545
211130005000248;0.1419776;904;55;144.0;6367.201586729174
211130005000249;0.1719605;1034;60;131.0;6013.008801439866
211130005000250;0.0665372;1084;64;185.0;16291.638361698417
211130005000251;0.0988906;826;40;192.0;8352.664459513848
211130005000252;0.225033;854;32;189.0;3794.9989557087183
211130005000253;0.1652331;1056;48;201.0;6390.971300544504
211130005000254;0.0309141;780;31;121.0;25231.205178219647
211130005000255;0.1181782;633;20;112.0;5356.317831884392
211130005000256;0.0286811;414;15;72.0;14434.592815477788
211130005000258;0.1159989;786;46;131.0;6775.926323439274
211130005000259;0.9106268;667;23;109.0;732.4625192230232
211130005000260;0.0184749;342;4;57.0;18511.602227887568
211130005000261;0.0238446;701;33;95.0;29398.689850112813
